frame_idx,frame_point_count,frame_mean_pixel_error,gt_instances,pred_instances
10004,15,4.513614678505224,3,3
10005,15,4.760908133453948,3,3
10006,15,3.5295048420161623,3,3
10007,15,17.24348648581275,3,3
10008,15,4.541811947971706,3,3
10009,15,4.148793671460194,3,3
10010,15,3.861445689299403,3,3
10011,15,4.716189903198414,3,3
10012,15,5.726937158421746,3,3
10013,15,2.922127668378681,3,3
10014,15,5.932514354396788,3,3
10015,15,5.2886564788228245,3,3
10016,15,8.196430983980784,3,3
10017,15,57.2815689414009,3,3
10018,15,5.373719048838983,3,3
10019,15,4.791301818130943,3,3
10020,15,6.189685027436226,3,3
10021,15,17.99618532539504,3,3
10022,15,5.513463199255098,3,3
10023,15,4.27864207418979,3,3
10024,15,7.133747823977505,3,3
10025,15,4.737380021105676,3,3
10026,15,2.847068848386604,3,3
10027,15,3.918569855157216,3,3
10028,15,5.880466085817456,3,3
10029,15,5.000594013204901,3,3
10030,15,5.4173020241949,3,3
10031,15,18.772503794206408,3,3
10032,15,7.833937600450802,3,3
10033,15,15.052460156157922,3,3
10034,15,6.36177557974286,3,3
10035,15,32.99854383895097,3,3
10036,15,6.552942791411321,3,3
10037,15,7.360670512857115,3,3
10038,15,5.57364955127658,3,3
10039,15,22.85530981404355,3,3
10040,15,16.693092258617792,3,3
10041,15,5.389818670870984,3,3
10042,15,4.7237834988434155,3,3
10043,15,4.49809392745831,3,3
10044,15,16.580615815534898,3,3
10045,15,5.939252966506535,3,3
10046,15,16.47707759922573,3,3
10047,15,3.7920685540791217,3,3
10048,15,17.301036771950848,3,3
10049,15,16.315276176676257,3,3
10050,15,78.860129126047,3,3
10051,15,15.086901976341002,3,3
10052,15,21.721799945447756,3,3
10053,15,15.774842675902345,3,3
10054,15,4.673711989179359,3,3
10055,15,4.325604623605657,3,3
10056,15,4.093062423677202,3,3
10057,15,18.54384039768536,3,3
10058,15,5.652643182325867,3,3
10059,15,5.805918459639875,3,3
10060,15,4.572979830749827,3,3
10061,15,5.6051592283254825,3,3
10062,15,6.751476542500764,3,3
10063,15,5.490322926536176,3,3
10064,15,4.868008787941388,3,3
10065,15,20.59695869244276,3,3
10066,15,5.869935297448956,3,3
10067,15,3.8665973775890525,3,3
10068,15,4.102239040778775,3,3
10069,15,185.32101424733386,3,3
10070,15,3.5617790236471762,3,3
10071,15,15.52865786193646,3,3
10072,15,89.53947862000093,3,3
10073,15,4.923509137514412,3,3
10074,15,19.823633025661888,3,3
10075,15,5.233610505306232,3,3
10076,15,5.430773709080489,3,3
10077,15,5.300436773107765,3,3
10078,15,5.161142661432852,3,3
10079,15,5.3002751268723864,3,3
10080,14,17.72707510355188,3,3
10081,15,4.351524524960379,3,3
10082,15,4.05066948500998,3,3
10083,15,5.366660975360998,3,3
10084,15,15.789008506412353,3,3
10085,15,14.016345816967032,3,3
10086,15,3.7717695204515693,3,3
10087,15,19.27697470037472,3,3
10088,15,4.788076969502651,3,3
10089,15,5.563654782471841,3,3
10090,15,4.044536322665425,3,3
10091,15,19.738187718552915,3,3
10092,15,3.7949647057496185,3,3
10093,15,5.068154901629043,3,3
10094,15,4.315465125348196,3,3
10095,15,2.8506668700507594,3,3
10096,15,3.3900292811317865,3,3
10097,15,14.315685321658373,3,3
10098,15,4.346622683532039,3,3
10099,15,3.669288881115303,3,3
10100,15,4.542815877679047,3,3
10101,15,7.695018931048876,3,3
10102,15,6.930745952859628,3,3
10103,15,5.730414904738639,3,3
10104,15,22.34944498207311,3,3
10105,15,4.994713966123397,3,3
10106,15,7.118181856628092,3,3
10107,15,3.556233045456063,3,3
10108,15,4.110087120764776,3,3
10109,15,4.412641864681299,3,3
10110,15,4.371024607173225,3,3
10111,15,13.663767967091712,3,3
10112,15,3.3783899762519685,3,3
10113,15,7.106202210054539,3,3
10114,15,6.244352402056659,3,3
10115,15,7.072399443665278,3,3
10116,15,5.7932630913647385,3,3
10117,15,5.491270253096868,3,3
10118,15,5.463571977314505,3,3
10119,15,10.8754164751512,3,3
10120,15,5.115881084911604,3,3
10121,15,4.472509114494747,3,3
10122,15,4.969039900312479,3,3
10123,15,3.9933221800740797,3,3
10124,15,94.78546839195278,3,3
10125,15,20.183988554062175,3,3
10126,15,6.447140777280599,3,3
10127,15,5.656252575596382,3,3
10128,15,104.45093940777433,3,3
10129,15,7.208107495391598,3,3
10130,15,16.899736824856394,3,3
10131,15,5.5558531623893925,3,3
10132,15,176.86360782619096,3,3
10133,15,7.319332929863704,3,3
10134,15,6.550825786031536,3,3
10135,15,6.2143725130997245,3,3
10136,15,7.058018624587393,3,3
10137,10,23.664886007455276,3,2
10138,15,21.114484113489024,3,3
10139,15,6.158556324826108,3,3
10140,15,6.804640201604814,3,3
10141,15,8.632499332236373,3,3
10142,15,6.268551129043647,3,3
10143,15,5.97873522714788,3,3
10144,15,6.666401136187713,3,3
10145,15,6.767976478296534,3,3
10146,15,5.014459198367741,3,3
10147,15,4.686992768058887,3,3
10148,15,5.554578177725239,3,3
10149,15,6.015893318379786,3,3
10150,15,26.21575358828396,3,3
10151,15,180.2417180771648,3,3
10152,15,4.754356166389912,3,3
10153,15,6.492493368778385,3,3
